District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Tap/piped water,Tube well/hand pump,"Covered well,kuwa","Uncovered well, kuwa",spout water,river/streams,others,Not stated
Taplejung,Aatharai Tribeni Gaunpalika,524 1 01 4 006,10105,"2,888","2,401",0,10,176,262,12,21,6
Taplejung,Maiwakhola Gaunpalika,524 1 01 4 005,10104,"2,194","2,041",1,2,25,90,8,14,13
Taplejung,Meringden Gaunpalika,524 1 01 4 004,10103,"2,578","2,325",1,6,38,144,40,6,18
Taplejung,Mikwakhola Gaunpalika,524 1 01 4 002,10102,"1,869","1,724",1,1,60,44,9,23,7
Taplejung,Phaktanlung Gaunpalika,524 1 01 4 001,10101,"2,525","2,445",0,1,16,10,16,13,24
Taplejung,Phungling Municipality,524 1 01 3 001,10106,"5,986","5,245",0,9,52,539,31,91,19
Taplejung,Sidingba Gaunpalika,524 1 01 4 008,10109,"2,370","2,216",0,18,49,50,5,17,15
Taplejung,Sirijanga Gaunpalika,524 1 01 4 003,10108,"3,227","2,978",3,5,44,132,29,17,19
Taplejung,Yangwarak Gaunpalika,524 1 01 4 007,10107,"2,834","2,586",0,2,15,170,33,21,7
Terhathum,Aatharai Gaunpalika,524 1 08 4 003,10801,"4,578","3,223",2,56,382,785,38,73,19
Terhathum,Chhathar Gaunpalika,524 1 08 4 004,10806,"3,636","2,592",2,34,353,628,10,4,13
Terhathum,Laligurans Municipality,524 1 08 3 001,10805,"3,677","2,997",2,32,90,533,3,10,10
Terhathum,Menchhayayem Gaunpalika,524 1 08 4 001,10803,"1,794","1,429",2,4,70,252,6,26,5
Terhathum,Myanglung Municipality,524 1 08 3 002,10804,"4,595","3,862",7,11,90,604,12,2,7
Terhathum,Phedap Gaunpalika,524 1 08 4 002,10802,"3,804","3,037",6,63,158,485,13,30,12
Udayapur,Belaka Municipality,524 1 14 3 004,11401,"8,930","3,071","3,764",25,"1,663",133,199,56,19
Udayapur,Chaudandigadhi Municipality,524 1 14 3 003,11402,"10,519","3,157","4,312",363,"2,390",39,66,183,9
Udayapur,Katari Municipality,524 1 14 3 001,11407,"11,717","5,787","2,826",160,"2,417",133,225,107,62
Udayapur,Rautamai Gaunpalika,524 1 14 4 004,11404,"4,666","3,613",254,48,521,113,84,8,25
Udayapur,Sunkoshi Gaunpalika,524 1 14 4 002,10407,"2,316","2,009",0,2,217,71,9,3,5
Udayapur,Tapli Gaunpalika,524 1 14 4 001,11406,"2,703","2,256",3,82,266,0,77,0,19
Udayapur,Triyuga Municipality,524 1 14 3 002,11403,"19,484","5,295","11,470",113,"1,790",276,283,198,59
Udayapur,Udayapurgadhi Gaunpalika,524 1 14 4 003,11408,"6,179","3,705",314,117,"1,384",113,525,12,9
Achham,Bannigadhi Jayagadh Gaunpalika,524 7 69 4 003,70707,"3,373","1,329",3,376,174,"1,481",4,0,6
Achham,Chaurpati Gaunpalika,524 7 69 4 001,70705,"5,113","3,114",4,862,136,910,63,4,20
Achham,Dhakari Gaunpalika,524 7 69 4 005,70709,"3,795","2,186",3,28,163,"1,311",69,3,32
Achham,Kamal bazar Municipality,524 7 69 3 003,70708,"4,482","1,734",2,67,362,"2,239",32,4,42
Achham,Mangalsen Municipality,524 7 69 3 002,70706,"6,604","2,844",7,100,373,"3,198",41,22,19
Achham,Mellekh Gaunpalika,524 7 69 4 002,70703,"4,360","3,537",3,69,177,522,10,0,42
Achham,Panchdebal Binayak Municipality,524 7 69 3 004,70701,"4,966","2,862",0,133,293,"1,426",217,3,32
Achham,Ramaroshan Gaunpalika,524 7 69 4 004,70702,"4,357","2,672",1,89,181,"1,312",64,18,20
Achham,Sanphebagar Municipality,524 7 69 3 001,70704,"6,693","4,074",53,465,333,"1,496",217,9,46
Achham,Turmakhand Gaunpalika,524 7 69 4 006,70710,"4,575","2,477",2,8,209,"1,708",148,2,21
Arghakhanchi,Bhumikasthan Municipality,524 5 50 3 001,50503,"7,727","6,608",4,21,232,647,118,81,16
Arghakhanchi,Chhatradev Gaunpalika,524 5 50 4 002,50501,"6,341","3,856",4,"1,030",701,679,54,3,14
Arghakhanchi,Malarani Gaunpalika,524 5 50 4 001,50502,"6,824","5,684",6,239,301,516,68,5,5
Arghakhanchi,Panini Gaunpalika,524 5 50 4 003,50505,"6,152","4,877",6,89,297,819,38,3,23
Arghakhanchi,Sandhikharka Municipality,524 5 50 3 002,50504,"10,581","8,646",398,303,601,498,68,12,55
Arghakhanchi,Shitaganga Municipality,524 5 50 3 003,50506,"9,201","5,671",72,125,"1,799",925,560,10,39
Baglung,Badigad Gaunpalika,524 4 43 4 003,41107,"6,228","5,295",4,39,274,347,156,48,65
Baglung,Baglung Municipality,524 4 43 3 003,41101,"15,182","14,206",11,98,171,627,29,8,32
Baglung,Bareng Gaunpalika,524 4 43 4 006,41109,"3,240","3,074",1,9,34,102,9,0,11
Baglung,Dhorpatan Municipality,524 4 43 3 001,41105,"5,706","4,411",2,16,559,365,298,19,36
Baglung,Galkot Municipality,524 4 43 3 002,41108,"7,711","7,079",2,8,188,285,12,105,32
Baglung,Jaimuni Municipality,524 4 43 3 004,41110,"7,477","6,596",3,48,213,527,55,2,33
Baglung,Kathekhola Gaunpalika,524 4 43 4 005,41102,"6,128","5,933",3,11,21,104,24,6,26
Baglung,Nisikhola Gaunpalika,524 4 43 4 001,41106,"4,893","3,594",3,23,465,478,294,1,35
Baglung,Tamankhola Gaunpalika,524 4 43 4 002,41104,"2,422","2,062",1,17,114,166,46,0,16
Baglung,Tarakhola Gaunpalika,524 4 43 4 004,41103,"2,495","2,366",1,3,18,97,4,0,6
Baitadi,Dasharathchand Municipality,524 7 74 3 001,70405,"7,257","5,463",17,753,219,662,70,45,28
Baitadi,Dilasaini Gaunpalika,524 7 74 4 001,70401,"4,110","2,484",5,81,570,382,442,137,9
Baitadi,Dogada Kedar Gaunpalika,524 7 74 4 002,70402,"4,559","2,852",6,533,498,585,54,13,18
Baitadi,Melauli Municipality,524 7 74 3 003,70408,"3,947","2,546",12,350,303,492,137,84,23
Baitadi,Pancheshwor Gaunpalika,524 7 74 4 004,70406,"3,312","2,728",1,45,109,308,110,0,11
Baitadi,Patam Municipality,524 7 74 3 004,70409,"5,767","4,472",21,142,400,397,235,78,22
Baitadi,Puchaundi Municipality,524 7 74 3 002,70403,"6,390","4,168",8,263,927,787,153,58,26
Baitadi,Shivanath Gaunpalika,524 7 74 4 005,70407,"2,771","1,656",1,13,559,182,349,2,9
Baitadi,Sigas Gaunpalika,524 7 74 4 006,70410,"3,733","2,021",3,37,230,463,593,360,26
Baitadi,Surnaya Gaunpalika,524 7 74 4 003,70404,"3,321","2,442",4,69,243,411,116,11,25
Bajhang,Bitthadchir Gaunpalika,524 7 67 4 004,70210,"2,739","1,171",0,84,347,775,339,9,14
Bajhang,Bungal Municipality,524 7 67 3 001,70202,"5,480","3,180",1,152,337,"1,144",486,97,83
Bajhang,Chhabis Pathibhara Gaunpalika,524 7 67 4 007,70207,"2,953","2,217",0,8,171,411,117,8,21
Bajhang,Durgathali Gaunpalika,524 7 67 4 006,70208,"2,447","1,226",0,61,158,793,117,60,32
Bajhang,Jayaprithbi Municipality,524 7 67 3 002,70206,"4,015","2,984",0,19,310,587,78,2,35
Bajhang,Kanda Gaunpalika,524 7 67 4 001,70201,363,182,0,0,1,173,1,3,3
Bajhang,Kedarsyun Gaunpalika,524 7 67 4 005,70209,"3,586","1,927",0,174,431,650,386,6,12
Bajhang,Khaptad Chhanna Gaunpalika,524 7 67 4 010,70212,"3,105","2,511",0,60,68,342,113,0,11
Bajhang,Masta Gaunpalika,524 7 67 4 008,70205,"2,456","1,983",0,22,88,256,94,0,13
Bajhang,Surma Gaunpalika,524 7 67 4 002,70203,"1,418",913,0,27,98,210,165,1,4
Bajhang,Talkot Gaunpalika,524 7 67 4 003,70204,"2,000","1,725",0,7,18,187,36,2,25
Bajhang,Thalara Gaunpalika,524 7 67 4 009,70211,"3,211","2,639",0,14,120,314,63,1,60
Bajura,Badimalika Municipality,524 7 68 3 002,70106,"3,446","2,641",0,20,115,429,211,12,18
Bajura,Budhiganga Municipality,524 7 68 3 003,11213,"4,277","2,404",0,2,235,"1,568",17,5,46
Bajura,Budhinanda Municipality,524 7 68 3 001,70103,"3,452","2,430",1,12,43,792,156,1,17
Bajura,Chhededaha Gaunpalika,524 7 68 4 003,70107,"3,174","2,384",0,3,225,470,46,4,42
Bajura,Gaumul Gaunpalika,524 7 68 4 002,70102,"1,560","1,102",0,2,88,272,88,2,6
Bajura,Himali Gaunpalika,524 7 68 4 001,70101,"1,722",752,0,1,19,855,67,0,28
Bajura,Pandab Gufa Gaunpalika,524 7 68 4 004,70105,"1,684","1,358",0,1,3,179,138,1,4
Bajura,Swami Kartik Gaunpalika,524 7 68 4 005,70104,"2,223","1,493",1,6,18,572,110,0,23
Bajura,Tribeni Municipality,524 7 68 3 004,50206,"3,350","2,474",0,17,121,721,5,0,12
Banke,Baijanath Gaunpalika,524 5 57 4 002,51103,"11,066",715,"9,858",42,9,23,4,391,24
Banke,Duduwa Gaunpalika,524 5 57 4 004,51107,"6,590","1,109","5,309",47,52,3,2,49,19
Banke,Janaki Gaunpalika,524 5 57 4 003,70808,"6,724",838,"5,421",64,268,7,1,64,61
Banke,Khajura Gaunpalika,524 5 57 4 001,51104,"10,288",923,"8,966",79,31,130,4,105,50
Banke,Kohalpur Municipality,524 5 57 3 001,51102,"15,483","2,171","12,676",56,78,138,5,306,53
Banke,Narainapur Gaunpalika,524 5 57 4 006,51108,"5,908",414,"5,064",38,166,4,2,182,38
Banke,Nepalganj Sub-Metropolitian City,524 5 57 2 001,51106,"27,892","6,611","20,203",237,168,12,3,431,227
Banke,Rapti Sonari Gaunpalika,524 5 57 4 005,51101,"10,742","1,056","8,750",295,498,10,65,35,33
Bara,Aadarsha Kotwal Gaunpalika,524 2 33 4 009,20711,"3,960",19,"3,704",2,31,2,0,181,21
Bara,Baragadhi Gaunpalika,524 2 33 4 006,20710,"4,270",405,"3,716",43,76,3,6,0,21
Bara,Bishrampur Gaunpalika,524 2 33 4 004,20706,"3,395",26,"3,282",2,53,1,1,0,30
Bara,Devtal Gaunpalika,524 2 33 4 007,20715,"3,185",22,"2,995",5,17,3,1,28,114
Bara,Jitpur Simara Sub-Metropolitian City,524 2 33 2 001,20703,"21,670","6,243","14,782",19,141,68,91,150,176
Bara,Kalaiya Sub-Metropolitian City,524 2 33 2 002,20708,"18,689","1,987","16,047",54,81,36,0,209,275
Bara,Karaiyamai Gaunpalika,524 2 33 4 003,20709,"4,173",334,"3,740",5,14,2,1,41,36
Bara,Kolhabi Municipality,524 2 33 3 002,20702,"8,111",609,"7,284",15,108,3,1,30,61
Bara,Mahagadhimai Municipality,524 2 33 3 003,20714,"7,773",889,"6,575",10,58,1,0,146,94
Bara,Nijagadh Municipality,524 2 33 3 001,20701,"7,162","6,447",26,69,377,119,69,16,39
Bara,Pacharauta Municipality,524 2 33 3 004,20713,"4,707",307,"4,078",9,115,2,1,146,49
Bara,Parawanipur Gaunpalika,524 2 33 4 001,20704,"3,166",591,"2,469",5,0,1,1,64,35
Bara,Pheta Gaunpalika,524 2 33 4 005,20707,"3,585",287,"3,250",11,8,8,0,3,18
Bara,Prasauni Gaunpalika,524 2 33 4 002,20705,"3,626",201,"3,143",4,5,0,1,214,58
Bara,Simroungadh Municipality,524 2 33 3 005,20712,"7,093",99,"6,812",12,55,6,1,58,50
Bara,Subarna Gaunpalika,524 2 33 4 008,20716,"4,035",167,"3,768",19,10,3,0,4,64
Bardiya,Badhaiyatal Gaunpalika,524 5 58 4 002,51208,"10,333",582,"9,685",15,7,6,1,21,16
Bardiya,Bansgadhi Municipality,524 5 58 3 006,51201,"11,210",931,"9,609",78,27,249,61,220,35
Bardiya,Barbardiya Municipality,524 5 58 3 005,51202,"13,268",167,"12,862",17,37,7,1,141,36
Bardiya,Geruwa Gaunpalika,524 5 58 4 001,51204,"6,135",119,"5,886",10,6,7,18,84,5
Bardiya,Gulariya Municipality,524 5 58 3 004,51207,"13,064","2,283","10,639",35,3,2,2,85,15
Bardiya,Madhuwan Municipality,524 5 58 3 002,51206,"9,569","1,476","7,826",6,107,2,15,112,25
Bardiya,Rajapur Municipality,524 5 58 3 001,51205,"10,916",334,"10,465",10,22,8,1,60,16
Bardiya,Thakurbaba Municipality,524 5 58 3 003,51203,"8,652",292,"8,215",19,18,3,4,75,26
Bhaktapur,Bhaktapur Municipality,524 3 26 3 003,30702,"17,639","15,998",107,444,217,350,4,425,94
Bhaktapur,Changunarayan Municipality,524 3 26 3 002,30701,"12,170","8,598",450,"1,262",728,876,22,143,91
Bhaktapur,Madhyapur Thimi Municipality,524 3 26 3 001,30703,"20,302","13,431","1,412","2,085",602,"1,389",2,"1,263",118
Bhaktapur,Suryabinayak Municipality,524 3 26 3 004,30704,"18,446","15,411",638,984,315,727,14,250,107
Bhojpur,Aamchowk Gaunpalika,524 1 10 4 006,10609,"3,677","2,668",5,74,516,305,95,12,2
Bhojpur,Arun Gaunpalika,524 1 10 4 003,10605,"3,782","2,324",4,282,571,568,28,3,2
Bhojpur,Bhojpur Municipality,524 1 10 3 002,10604,"6,438","4,637",9,23,237,"1,479",45,2,6
Bhojpur,Hatuwagadhi Gaunpalika,524 1 10 4 007,10608,"4,579","2,953",6,173,891,475,46,30,5
Bhojpur,Pauwa Dunma Gaunpalika,524 1 10 4 005,10606,"3,280","2,122",3,61,552,492,22,25,3
Bhojpur,Ramprasad Rai Gaunpalika,524 1 10 4 004,10607,"4,016","2,803",5,142,462,567,31,1,5
Bhojpur,Salpa Silichho Gaunpalika,524 1 10 4 001,10602,"2,728","2,132",20,28,134,387,17,4,6
Bhojpur,Shadananda Municipality,524 1 10 3 001,10601,"6,832","4,065",12,163,531,"1,989",60,3,9
Bhojpur,Tyamke Maiyum Gaunpalika,524 1 10 4 002,10603,"4,061","3,233",11,22,138,600,49,0,8
Chitawan,Bharatpur Metropolitian City,524 3 35 1 001,30702,"69,035","21,089","38,193","6,531","1,904",161,95,780,282
Chitawan,Ichchha Kamana Gaunpalika,524 3 35 4 001,31303,"4,778","4,433",32,13,205,26,54,1,14
Chitawan,Kalika Municipality,524 3 35 3 001,30304,"9,116","5,611","1,138",984,"1,081",90,49,137,26
Chitawan,Khairahani Municipality,524 3 35 3 003,31306,"12,331","4,284","7,312",120,394,6,4,162,49
Chitawan,Madi Municipality,524 3 35 3 005,10209,"8,960","1,026","4,252",475,"2,770",94,197,128,18
Chitawan,Rapti Municipality,524 3 35 3 004,31301,"12,055","4,949","5,482",565,781,30,91,136,21
Chitawan,Ratnanagar Municipality,524 3 35 3 002,31305,"16,070","4,897","8,780","1,840",142,232,1,70,108
Dadeldhura,Aalital Gaunpalika,524 7 73 4 004,70506,"3,280","2,395",7,151,249,228,229,13,8
Dadeldhura,Ajayameru Gaunpalika,524 7 73 4 002,70503,"3,311","2,454",1,2,62,255,36,473,28
Dadeldhura,Amargadhi Municipality,524 7 73 3 002,70502,"4,778","3,757",9,83,229,526,113,38,23
Dadeldhura,Bhageshwor Gaunpalika,524 7 73 4 001,70504,"2,462","2,082",3,9,23,115,166,39,25
Dadeldhura,Ganyapdhura Gaunpalika,524 7 73 4 005,70507,"3,070","2,288",6,98,124,301,242,7,4
Dadeldhura,Nawadurga Gaunpalika,524 7 73 4 003,70501,"4,132","2,315",4,401,500,584,210,102,16
Dadeldhura,Parashuram Municipality,524 7 73 3 001,70505,"5,990","3,770",37,22,701,913,502,12,33
Dailekh,Aathbis Municipality,524 6 61 3 001,60801,"5,263","2,881",2,26,404,"1,634",289,1,26
Dailekh,Bhagawatimai Gaunpalika,524 6 61 4 007,60609,"3,359","2,441",3,20,156,696,28,1,14
Dailekh,Bhairabi Gaunpalika,524 6 61 4 002,60603,"3,976",683,4,284,"1,092","1,839",55,4,15
Dailekh,Chamunda Bindrasaini Municipality,524 6 61 3 002,60606,"4,634","1,613",3,308,843,"1,801",43,2,21
Dailekh,Dullu Municipality,524 6 61 3 003,60607,"8,164","2,810",6,19,840,"4,333",87,9,60
Dailekh,Dungeshwor Gaunpalika,524 6 61 4 006,60610,"3,044","1,902",8,64,161,869,14,0,26
Dailekh,Gurans Gaunpalika,524 6 61 4 005,60611,"4,096","3,030",4,4,156,619,103,154,26
Dailekh,Mahabu Gaunpalika,524 6 61 4 003,60602,"3,553","1,531",1,113,621,"1,174",88,2,23
Dailekh,Narayan Municipality,524 6 61 3 004,60608,"5,791","3,798",3,97,584,"1,236",27,3,43
Dailekh,Naumule Gaunpalika,524 6 61 4 004,60601,"3,708","2,723",3,41,205,584,116,2,34
Dailekh,Thantikandh Gaunpalika,524 6 61 4 001,60604,"3,327","1,925",2,2,74,"1,274",9,0,41
Dang,Babai Gaunpalika,524 5 56 4 001,51005,"5,945","4,354",33,206,179,654,493,1,25
Dang,Bangalachuli Gaunpalika,524 5 56 4 005,51001,"4,730","2,902",2,85,"1,096",419,183,22,21
Dang,Dangisharan Gaunpalika,524 5 56 4 002,51006,"4,455",395,283,440,"2,595",436,190,101,15
