District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Without any toilet facility,Flush Toilet ,Ordinary Toilet ,Toilet Facility not stated
Achham,Bannigadhi Jayagadh Gaunpalika,524 7 69 4 003,70707,3373,2230,1007,130,6
Achham,Chaurpati Gaunpalika,524 7 69 4 001,70705,5113,2688,1593,812,20
Achham,Dhakari Gaunpalika,524 7 69 4 005,70709,3795,1076,1387,1300,32
Achham,Kamal bazar Municipality,524 7 69 3 003,70708,4482,2825,879,736,42
Achham,Mangalsen Municipality,524 7 69 3 002,70706,6604,4234,1913,436,21
Achham,Mellekh Gaunpalika,524 7 69 4 002,70703,4360,624,2542,1157,37
Achham,Panchdebal Binayak Municipality,524 7 69 3 004,70701,4966,3907,557,471,31
Achham,Ramaroshan Gaunpalika,524 7 69 4 004,70702,4357,2413,1606,318,20
Achham,Sanphebagar Municipality,524 7 69 3 001,70704,6693,2214,3985,446,48
Achham,Turmakhand Gaunpalika,524 7 69 4 006,70710,4575,3124,504,926,21
Arghakhanchi,Bhumikasthan Municipality,524 5 50 3 001,50503,7727,2517,2754,2438,18
Arghakhanchi,Chhatradev Gaunpalika,524 5 50 4 002,50501,6341,933,2067,3326,15
Arghakhanchi,Malarani Gaunpalika,524 5 50 4 001,50502,6824,1751,2615,2453,5
Arghakhanchi,Panini Gaunpalika,524 5 50 4 003,50505,6152,1566,1820,2744,22
Arghakhanchi,Sandhikharka Municipality,524 5 50 3 002,50504,10581,2001,5098,3424,58
Arghakhanchi,Shitaganga Municipality,524 5 50 3 003,50506,9201,4519,2028,2615,39
Baglung,Badigad Gaunpalika,524 4 43 4 003,41107,6228,1662,2498,2004,64
Baglung,Baglung Municipality,524 4 43 3 003,41101,15182,789,11846,2510,37
Baglung,Bareng Gaunpalika,524 4 43 4 006,41109,3240,340,1366,1523,11
Baglung,Dhorpatan Municipality,524 4 43 3 001,41105,5706,3122,1394,1153,37
Baglung,Galkot Municipality,524 4 43 3 002,41108,7711,647,4894,2141,29
Baglung,Jaimuni Municipality,524 4 43 3 004,41110,7477,730,5370,1353,24
Baglung,Kathekhola Gaunpalika,524 4 43 4 005,41102,6128,452,4730,924,22
