District,District_ID,value
ACHHAM,69,100
ARGHAKHACHI,50,33
BAGLUNG,43,33
BAITADI,74,100
BAJHANG,67,100
BAJURA,68,100
BANKE,57,67
BARA,33,0
BARDIYA,58,80
BHOJPUR,10,0
CHITWAN,35,33
DADELDHURA,73,100
DAILEKH,61,0
DANG,56,50
DARCHULA,75,100
DHANUSHA,17,70
DOLAKHA,22,100
DOLPA,62,50
DOTI,70,0
GORKHA,36,100
GULMI,51,50
ILAM,3,0
JAJARKOT,60,0
JHAPA,4,0
JUMLA,63,0
KAILALI,71,100
KANCHANPUR,72,100
KAPILVASTU,49,100
KASKI,39,100
KATHMANDU,27,50
KHOTANG,12,0
LAMJUNG,37,0
MAHOTTARI,18,100
MORANG,5,0
MUGU,65,100
MUSTANG,45,100
MYAGDI,44,50
NAWALPARASI EAST,47,0
OKHALDHUNGA,13,0
PALPA,46,0
PANCHTHAR,2,0
PYUTHAN,55,67
RAMECHHAP,21,100
RASUWA,29,0
ROLPA,54,100
RUKUM EAST,52,100
RUKUM WEST,77,50
RUPENDEHI,48,0
SALYAN,53,100
SANKHUWASABHA,9,0
SAPTARI,15,67
SARLAHI,19,67
SINDHUPALCHOWK,23,0
SIRAHA,16,75
SOLUKHUMBU,11,50
SUNSARI,6,0
SURKHET,59,100
SYANGJA,41,50
TANAHU,40,0
TAPLEJUNG,1,0
TERHATHUM,8,0
UDAYAPUR,14,75
