District,District_ID,value
ACHHAM,69,100
ARGHAKHACHI,50,100
BAGLUNG,43,100
BAITADI,74,100
BAJHANG,67,100
BAJURA,68,100
BANKE,57,100
BARA,33,100
BARDIYA,58,100
BHOJPUR,10,100
CHITWAN,35,100
DADELDHURA,73,100
DAILEKH,61,100
DANG,56,100
DARCHULA,75,100
DHANUSHA,17,100
DOLAKHA,22,100
DOLPA,62,100
DOTI,70,100
GORKHA,36,100
GULMI,51,100
ILAM,3,100
JAJARKOT,60,100
JHAPA,4,100
JUMLA,63,100
KAILALI,71,100
KANCHANPUR,72,100
KAPILVASTU,49,100
KASKI,39,100
KATHMANDU,27,100
KHOTANG,12,100
LAMJUNG,37,100
MAHOTTARI,18,100
MORANG,5,100
MUGU,65,100
MUSTANG,45,100
MYAGDI,44,100
NAWALPARASI EAST,47,100
OKHALDHUNGA,13,100
PALPA,46,100
PANCHTHAR,2,100
PYUTHAN,55,100
RAMECHHAP,21,100
RASUWA,29,100
ROLPA,54,100
RUKUM EAST,52,100
RUKUM WEST,77,100
RUPENDEHI,48,100
SALYAN,53,100
SANKHUWASABHA,9,100
SAPTARI,15,100
SARLAHI,19,100
SINDHUPALCHOWK,23,100
SIRAHA,16,100
SOLUKHUMBU,11,100
SUNSARI,6,100
SURKHET,59,100
SYANGJA,41,100
TANAHU,40,100
TAPLEJUNG,1,100
TERHATHUM,8,100
UDAYAPUR,14,100
