Prog. Code,Component Code,1st Tier Partner Code,2nd Tier Partner Code,2nd Tier Partner,Province ID,District ID,Palika ID,Project Status,Budget,Kathmandu Activity,Delivery in Lockdown,COVID Priority 3_12 Months,COVID Recovery Priority,Providing TA to Local Government,Providing TA to Provincial Government
205145,205145-103,15211,0,,-1,-1,-1,Ongoing,1217118,,Yes,Yes,Yes,Yes,Yes
300743,300743-103,16764,0,,-1,-1,-1,,0,,,,,,
203385,203385-105,31818,0,,-1,-1,-1,Ongoing,1000000,NA,Partial High,Partial High,Partial High,No,Yes
300007,300006-101,35949,0,,-1,-1,-1,,3000000,Influence,Partial High,No,No,Yes,Yes
300743,300743-102,35949,0,,-1,-1,-1,,0,,,,,,
205145,205145-106,39600,0,,-1,-1,-1,,335966,Influence,Yes,Yes,Yes,Yes,Yes
204984,204984-104,46348,0,,-1,-1,-1,Ongoing,3943656,Influence,Partial High,No,No,No,Yes
300006,300006-103,38159,0,Forum of Federation and NASC,-1,-1,-1,Ongoing,902497,Influence,Partial Low,Partial Low,Partial Low,No,No
205145,205145-108,33151,0,Mannion Daniels and Team Consult,-1,-1,-1,Ongoing,1800000,Influence,Yes,Yes,Yes,Yes,Yes
300006,300006-101,33151,0,Team Consult,-1,-1,-1,Ongoing,3030387,Influence,Partial Low,Partial High,Partial Low,No,No
300607,300607-101,42896,200259,Winrock International,3,31,524 2 19 3 001,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
300607,300607-101,42896,200259,Winrock International,3,23,524 3 23 3 001,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
300607,300607-101,42896,200259,Winrock International,3,23,524 3 23 3 002,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
300607,300607-101,42896,200259,Winrock International,3,23,524 3 23 4 002,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
300607,300607-101,42896,200259,Winrock International,3,23,524 3 23 4 004,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
