District ,Name of municipalities,HLCIT_CODE,CBS_Code,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Taplejung,Aatharai Tribeni Gaunpalika,524 1 01 4 006,10105,2888,541,2347,2001,323,38,21,16,27,1881
Taplejung,Maiwakhola Gaunpalika,524 1 01 4 005,10104,2194,436,1755,1505,202,23,28,3,71,1307
Taplejung,Meringden Gaunpalika,524 1 01 4 004,10103,2578,739,1839,1434,82,6,12,0,33,1359
Taplejung,Mikwakhola Gaunpalika,524 1 01 4 002,10102,1869,410,1459,1235,55,1,6,1,52,1029
Taplejung,Phaktanlung Gaunpalika,524 1 01 4 001,10101,2525,637,1888,1601,149,12,13,0,74,1079
Taplejung,Phungling Municipality,524 1 01 3 001,10106,5986,531,5447,4588,1648,992,294,95,451,4513
Taplejung,Sidingba Gaunpalika,524 1 01 4 008,10109,2370,600,1770,1506,79,12,8,1,97,1121
Taplejung,Sirijanga Gaunpalika,524 1 01 4 003,10108,3227,811,2415,2057,197,64,25,3,194,1521
Taplejung,Yangwarak Gaunpalika,524 1 01 4 007,10107,2834,566,2268,1974,223,10,5,5,104,1750
Panchthar,Falelung Gaunpalika,524 1 02 4 003,10903,4552,952,3553,3034,151,6,10,0,32,2027
Panchthar,Falgunanda Gaunpalika,524 1 02 4 005,10905,5162,987,4156,3250,812,107,48,11,40,3283
Panchthar,Hilihan Gaunpalika,524 1 02 4 001,10902,4792,864,3919,3300,337,45,19,3,142,2841
Panchthar,Kummayak Gaunpalika,524 1 02 4 004,10906,3500,706,2792,2319,514,43,31,4,25,2215
Panchthar,Miklajung Gaunpalika,524 1 02 4 007,10908,5550,1221,4305,3562,787,44,26,4,55,3232
Panchthar,Phidim Municipality,524 1 02 3 001,10904,10994,1943,8940,6702,1496,1531,446,210,397,7097
Panchthar,Tumbewa Gaunpalika,524 1 02 4 006,10907,2815,660,2148,1834,231,6,10,0,21,1490
Panchthar,Yangbarak Gaunpalika,524 1 02 4 002,10107,3811,879,2917,2252,440,76,33,3,228,2179
Ilam,Chulachuli Gaunpalika,524 1 03 4 004,11007,4649,555,4042,2688,1301,123,65,19,102,2940
Ilam,Deumai Municipality,524 1 03 3 001,11004,7123,800,6214,4956,2769,451,141,26,94,5270
Ilam,Fakfokathum Gaunpalika,524 1 03 4 001,11005,4634,652,3947,3241,926,57,35,7,108,3110
Ilam,Illam Municipality,524 1 03 3 002,11003,11383,787,10524,7948,6259,1582,884,336,1196,8984
Ilam,Mai Jogmai Gaunpalika,524 1 03 4 003,11001,4677,398,4226,3320,1619,146,36,6,66,3637
Ilam,Mai Municipality,524 1 03 3 004,11008,7077,1310,5745,4345,1591,157,58,8,215,3731
Ilam,Mangsebung Gaunpalika,524 1 03 4 005,11006,3729,723,2981,2375,514,17,18,0,71,2088
Ilam,Rong Gaunpalika,524 1 03 4 006,11010,4351,551,3725,2853,1226,63,27,3,95,2772
Ilam,Sandakpur Gaunpalika,524 1 03 4 002,11002,3643,362,3219,2494,1261,92,34,2,20,2409
Ilam,Suryodaya Municipality,524 1 03 3 003,11009,13211,989,12096,9043,7322,2122,353,60,611,9705
Jhapa,Arjundhara Municipality,524 1 04 3 004,11103,13623,753,12824,7465,9360,1753,804,251,834,10668
Jhapa,Barhadashi Gaunpalika,524 1 04 4 005,11111,7398,641,6670,3864,3496,104,156,32,71,4938
Jhapa,Bhadrapur Municipality,524 1 04 3 008,11114,15270,862,14334,7853,10835,3628,1469,574,2217,10896
Jhapa,Birtamod Municipality,524 1 04 3 007,11112,19118,892,18145,9662,12263,6843,2624,957,2401,15447
Jhapa,Buddhashanti Gaunpalika,524 1 04 4 002,11102,9498,580,8775,5941,6479,1037,496,255,546,7574
Jhapa,Damak Municipality,524 1 04 3 001,11107,18104,878,17167,9849,12333,6689,2357,805,3169,15344
Jhapa,Gauradaha Municipality,524 1 04 3 006,11108,12070,1013,11037,6138,7340,382,319,107,431,8520
Jhapa,Gauriganj Gaunpalika,524 1 04 4 003,11109,7140,815,6312,2743,2480,341,122,32,99,3707
Jhapa,Haldibari Gaunpalika,524 1 04 4 006,11113,6415,294,6100,3626,4228,187,203,58,106,4735
Jhapa,Jhapa Gaunpalika,524 1 04 4 004,11110,7098,1041,6042,2627,2928,341,107,26,36,4097
Jhapa,Kachanakawal Gaunpalika,524 1 04 4 007,11115,8742,850,7807,3833,3618,189,71,32,23,4356
Jhapa,Kamal Gaunpalika,524 1 04 4 001,11106,10256,634,9527,5242,6717,1119,450,108,514,8203
Jhapa,Kankai Municipality,524 1 04 3 003,11104,9426,737,8674,5418,6636,1240,658,238,887,7131
Jhapa,Mechinagar Municipality,524 1 04 3 005,11101,25531,1871,23490,12311,17223,5245,1715,594,2433,18803
Jhapa,Shivasatakshi Municipality,524 1 04 3 002,11105,14695,991,13631,8084,9619,946,565,154,690,11406
Morang,Belbari Municipality,524 1 05 3 003,11205,15338,1141,14076,6629,9479,1597,653,169,694,11205
Morang,Biratnagar Metropolitian City,524 1 05 1 001,11214,47798,2574,44773,21535,14410,21869,8455,4246,9897,36649
Morang,Budhiganga Gaunpalika,524 1 05 4 004,11213,9621,865,8699,3297,5321,1341,382,86,571,5656
Morang,Dhanapalthan Gaunpalika,524 1 05 4 008,11216,7957,961,6912,2057,3082,376,75,7,74,3636
Morang,Gramthan Gaunpalika,524 1 05 4 005,11212,7920,449,7437,2792,3783,834,168,39,87,4474
Morang,Jahada Gaunpalika,524 1 05 4 007,11217,8175,916,7220,1485,1950,264,67,10,19,3031
Morang,Kanepokhari Gaunpalika,524 1 05 4 003,11206,8683,876,7728,3574,4639,516,165,60,117,6291
Morang,Katahari Gaunpalika,524 1 05 4 006,11215,8009,746,7201,2781,3497,780,130,59,122,4489
Morang,Kerabari Gaunpalika,524 1 05 4 001,11203,6991,1091,5848,3831,2530,539,141,23,150,4764
Morang,Letang Municipality,524 1 05 3 001,11202,7339,917,6364,3954,2865,1440,370,77,645,5406
Morang,Miklajung Gaunpalika,524 1 05 4 002,10908,6417,836,5523,3292,1859,566,170,33,168,4673
