Districts,Palika,HLCIT_CODE,CBS_Code,Age_greater5_M,R_nd_W_M,R_only_M,No_R_nd_W_M,Not_stated_M,Litracy_rate_M,Age_greater5_F,R_nd_W_F,R_only_F,No_R_nd_W_F,Not_stated_F,Litracy_rate_F
Achham,Bannigadhi Jayagadh Gaunpalika,524 7 69 4 003,70707,6383,4965,83,1332,3,77.78,8689,4288,88,4309,4,49.35
Achham,Chaurpati Gaunpalika,524 7 69 4 001,70705,9097,6020,416,2656,5,66.18,12131,4632,535,6955,9,38.18
Achham,Dhakari Gaunpalika,524 7 69 4 005,70709,8828,5156,592,3077,3,58.41,9621,3484,593,5542,2,36.21
Achham,Kamal bazar Municipality,524 7 69 3 003,70708,9370,6793,363,2204,10,72.5,11012,4441,410,6146,15,40.33
Achham,Mangalsen Municipality,524 7 69 3 002,70706,12605,9336,310,2948,11,74.07,15436,6802,426,8202,6,44.07
Achham,Mellekh Gaunpalika,524 7 69 4 002,70703,9721,6765,392,2560,4,69.59,11381,5362,535,5470,14,47.11
Achham,Panchdebal Binayak Municipality,524 7 69 3 004,70701,10802,7164,472,3155,11,66.32,12629,4781,520,7316,12,37.86
Achham,Ramaroshan Gaunpalika,524 7 69 4 004,70702,10158,7047,386,2665,60,69.37,11218,4874,403,5827,114,43.45
Achham,Sanphebagar Municipality,524 7 69 3 001,70704,13345,10814,462,2061,8,81.03,16199,8352,656,7179,12,51.56
Achham,Turmakhand Gaunpalika,524 7 69 4 006,70710,10016,6558,390,3065,3,65.48,11166,4202,447,6512,5,37.63
Arghakhanchi,Bhumikasthan Municipality,524 5 50 3 001,50503,12079,9875,179,2022,3,81.75,17017,11127,265,5609,16,65.39
Arghakhanchi,Chhatradev Gaunpalika,524 5 50 4 002,50501,9100,7422,200,1478,0,81.56,13865,8959,295,4610,1,64.62
Arghakhanchi,Malarani Gaunpalika,524 5 50 4 001,50502,10167,8251,142,1772,2,81.15,14726,9562,227,4933,4,64.93
Arghakhanchi,Panini Gaunpalika,524 5 50 4 003,50505,9749,7862,344,1540,3,80.64,13901,9135,414,4342,10,65.71
Arghakhanchi,Sandhikharka Municipality,524 5 50 3 002,50504,16204,13735,351,2110,8,84.76,21070,14715,415,5925,15,69.84
Arghakhanchi,Shitaganga Municipality,524 5 50 3 003,50506,17218,13654,441,3104,19,79.3,21008,13334,573,7046,55,63.47
Baglung,Badigad Gaunpalika,524 4 43 4 003,41107,11631,9062,221,2346,2,77.91,15487,10078,270,5136,3,65.07
Baglung,Baglung Municipality,524 4 43 3 003,41101,22808,20175,379,2246,8,88.46,29885,21602,530,7729,24,72.28
Baglung,Bareng Gaunpalika,524 4 43 4 006,41109,5452,4384,91,977,0,80.41,7619,5028,151,2435,5,65.99
Baglung,Dhorpatan Municipality,524 4 43 3 001,41105,10102,7270,294,2530,8,71.97,12806,7171,380,5238,17,56
Baglung,Galkot Municipality,524 4 43 3 002,41108,12682,10274,365,2035,8,81.01,17322,11683,507,5117,15,67.45
Baglung,Jaimuni Municipality,524 4 43 3 004,41110,12231,10117,290,1823,1,82.72,16987,11321,377,5277,12,66.65
