Districts,Palika,HLCIT_CODE,cbs code,Total_PE,Agriculture_PE,Manufacturing_PE,Construction_PE,Wholesales_PE,Transportations_PE,Accommodations_PE,Financial_PE,Education_PE,Social_Work_PE,Real_Eastate_PE
Achham,Bannigadhi Jayagadh Gaunpalika,524 7 69 4 003,70707,646,8,26,0,210,44,71,9,234,43,1
Achham,Chaurpati Gaunpalika,524 7 69 4 001,70705,791,21,46,2,283,7,44,8,300,75,5
Achham,Dhakari Gaunpalika,524 7 69 4 005,70709,785,45,25,0,296,9,57,1,301,42,9
Achham,Kamal bazar Municipality,524 7 69 3 003,70708,930,6,24,12,264,0,149,8,382,76,9
Achham,Mangalsen Municipality,524 7 69 3 002,70706,2350,34,155,13,624,122,287,187,439,272,217
Achham,Mellekh Gaunpalika,524 7 69 4 002,70703,647,8,26,8,175,2,42,3,325,56,2
Achham,Panchdebal Binayak Municipality,524 7 69 3 004,70701,1154,21,63,14,261,21,141,43,480,89,21
Achham,Ramaroshan Gaunpalika,524 7 69 4 004,70702,1002,21,53,17,398,14,48,5,378,55,13
Achham,Sanphebagar Municipality,524 7 69 3 001,70704,4540,16,173,31,835,27,248,2074,696,300,140
Achham,Turmakhand Gaunpalika,524 7 69 4 006,70710,835,37,20,0,253,8,65,16,383,48,5
Arghakhanchi,Bhumikasthan Municipality,524 5 50 3 001,50503,1681,78,189,3,567,24,128,26,513,87,66
Arghakhanchi,Chhatradev Gaunpalika,524 5 50 4 002,50501,1574,86,133,12,489,25,121,52,491,81,84
Arghakhanchi,Malarani Gaunpalika,524 5 50 4 001,50502,1666,80,153,1,508,18,98,73,563,75,97
Arghakhanchi,Panini Gaunpalika,524 5 50 4 003,50505,1525,100,128,1,421,16,147,35,510,67,100
Arghakhanchi,Sandhikharka Municipality,524 5 50 3 002,50504,5583,185,650,62,2036,106,683,192,922,240,507
Arghakhanchi,Shitaganga Municipality,524 5 50 3 003,50506,2584,255,316,31,675,28,311,59,741,73,95
Baglung,Badigad Gaunpalika,524 4 43 4 003,41107,2269,113,247,59,781,43,157,52,613,118,86
Baglung,Baglung Municipality,524 4 43 3 003,41101,9320,536,1078,162,3066,154,969,434,1780,375,766
Baglung,Bareng Gaunpalika,524 4 43 4 006,41109,662,6,35,23,242,4,49,37,217,34,15
Baglung,Dhorpatan Municipality,524 4 43 3 001,41105,2331,77,261,48,834,32,295,104,496,64,120
Baglung,Galkot Municipality,524 4 43 3 002,41108,4159,552,439,102,1004,32,282,296,915,214,323
Baglung,Jaimuni Municipality,524 4 43 3 004,41110,4796,797,320,55,771,39,126,639,730,584,735
Baglung,Kathekhola Gaunpalika,524 4 43 4 005,41102,3939,677,179,21,844,26,90,140,582,352,1028
Baglung,Nisikhola Gaunpalika,524 4 43 4 001,41106,1078,68,86,37,401,10,61,7,357,24,27
Baglung,Tamankhola Gaunpalika,524 4 43 4 002,41104,612,21,75,28,214,11,34,7,188,27,7
Baglung,Tarakhola Gaunpalika,524 4 43 4 004,41103,1206,39,122,249,356,9,65,17,265,38,46
Baitadi,Dasharathchand Municipality,524 7 74 3 001,70405,2521,65,216,78,820,60,170,160,643,119,190
Baitadi,Dilasaini Gaunpalika,524 7 74 4 001,70401,915,18,58,0,252,5,44,1,470,44,23
Baitadi,Dogada Kedar Gaunpalika,524 7 74 4 002,70402,1316,160,66,1,396,16,50,48,438,58,83
Baitadi,Melauli Municipality,524 7 74 3 003,70408,1039,43,54,1,263,0,47,29,411,83,108
Baitadi,Pancheshwor Gaunpalika,524 7 74 4 004,70406,650,33,40,0,111,0,10,3,323,56,74
Baitadi,Patam Municipality,524 7 74 3 004,70409,1843,133,152,3,481,32,132,67,614,101,128
Baitadi,Puchaundi Municipality,524 7 74 3 002,70403,1720,63,75,11,555,28,135,23,639,114,77
Baitadi,Shivanath Gaunpalika,524 7 74 4 005,70407,455,24,12,0,98,0,9,3,252,19,38
Baitadi,Sigas Gaunpalika,524 7 74 4 006,70410,706,51,16,0,80,5,21,12,422,35,64
Baitadi,Surnaya Gaunpalika,524 7 74 4 003,70404,1103,58,18,5,254,13,12,35,333,59,316
Bajhang,Bitthadchir Gaunpalika,524 7 67 4 004,70210,1439,82,199,11,362,5,72,44,324,209,131
Bajhang,Bungal Municipality,524 7 67 3 001,70202,1740,37,162,28,564,17,79,9,683,89,72
Bajhang,Chhabis Pathibhara Gaunpalika,524 7 67 4 007,70207,1114,29,144,31,346,7,57,7,393,79,21
Bajhang,Durgathali Gaunpalika,524 7 67 4 006,70208,917,9,180,37,284,2,55,3,264,63,20
Bajhang,Jayaprithbi Municipality,524 7 67 3 002,70206,3583,142,397,50,1072,67,398,91,584,296,486
Bajhang,Kanda Gaunpalika,524 7 67 4 001,70201,170,12,2,0,68,3,15,0,47,23,0
Bajhang,Kedarsyun Gaunpalika,524 7 67 4 005,70209,1745,85,210,8,593,10,124,8,477,138,92
Bajhang,Khaptad Chhanna Gaunpalika,524 7 67 4 010,70212,951,13,131,27,263,15,47,5,351,80,19
Bajhang,Masta Gaunpalika,524 7 67 4 008,70205,1087,136,116,19,367,11,9,14,272,129,14
Bajhang,Surma Gaunpalika,524 7 67 4 002,70203,713,37,64,31,361,7,13,0,149,47,4
Bajhang,Talkot Gaunpalika,524 7 67 4 003,70204,1094,139,163,17,315,7,64,7,243,95,44
Bajhang,Thalara Gaunpalika,524 7 67 4 009,70211,893,46,115,12,162,15,20,12,371,105,35
Bajura,Badimalika Municipality,524 7 68 3 002,70106,2156,230,190,6,627,39,310,144,371,145,94
