District,Palika,HLCIT_CODE,cbs code,Area(SQKM),Total_Pop,Population_perSQKM
UDAYAPUR,Tapli Gaunpalika,524 1 14 4 001,11406,118.8569104,14562,122
SYANGJA,Phedikhola Gaunpalika,524 4 41 4 002,40902,56.8241048,12341,217
GORKHA,Ajirkot Gaunpalika,524 4 36 4 002,40102,198.1596427,15602,78
JAJARKOT,Barekot Gaunpalika,524 6 60 4 003,60701,579.7598971,18083,31
SIRAHA,Aurahi Gaunpalika,524 2 16 4 004,20216,35.80385274,23046,643
TANAHU,Aanbu Khaireni Gaunpalika,524 4 40 4 005,40710,128.1055182,20768,162
MANANG,Naraphu Gaunpalika,524 4 38 4 002,40201,838.5222643,538,0
MANANG,Chame Gaunpalika,524 4 38 4 003,40203,78.94928052,1129,14
DOLPA,Chharka Tangsong Gaunpalika,524 6 62 4 006,60108,1969.731866,1451,0
MUSTANG,Dalome Gaunpalika,524 4 45 4 002,40301,1349.364166,1423,1
MANANG,Nashong Gaunpalika,524 4 38 4 004,40204,710.2343771,1938,2
BAJHANG,Kanda Gaunpalika,524 7 67 4 001,70201,1474.911186,2182,1
MUSTANG,Lomanthang Gaunpalika,524 4 45 4 001,40304,725.1116982,1899,2
DOLPA,Jagadulla Gaunpalika,524 6 62 4 002,60103,780.2264584,2273,2
MANANG,Neshang Gaunpalika,524 4 38 4 001,40202,695.6547109,2222,3
DOLPA,Dolpo Buddha Gaunpalika,524 6 62 4 003,60101,1182.804286,2126,1
MUSTANG,Bahragaun Muktikshetra Gaunpalika,524 4 45 4 003,40303,887.3940826,2330,2
MUSTANG,Thasang Gaunpalika,524 4 45 4 005,40305,290.1268034,2912,10
MUSTANG,Gharpajhong Gaunpalika,524 4 45 4 004,40302,317.4667123,3029,9
DOLPA,Shey Phoksundo Gaunpalika,524 6 62 4 001,60102,2461.021997,3099,1
DOLPA,Kaike Gaunpalika,524 6 62 4 005,60107,467.92493,3576,7
HUMLA,Namkha Gaunpalika,524 6 66 4 001,60304,2431.096439,3900,1
DOLPA,Mudkechula Gaunpalika,524 6 62 4 004,60104,250.9802681,5129,20
HUMLA,Chankheli Gaunpalika,524 6 66 4 005,60301,1315.499499,5517,4
MUGU,Mugumakarmarog Gaunpalika,524 6 65 4 003,60201,2114.256242,5396,2
HUMLA,Tanjakot Gaunpalika,524 6 66 4 006,60307,159.8338953,5964,37
SOLUKHUMBU,Likhu Pike Gaunpalika,524 1 11 4 003,10308,124.1375441,5534,44
RASUWA,Parbatikunda Gaunpalika,524 3 29 4 001,30302,246.5676253,5490,22
HUMLA,Kharpunath Gaunpalika,524 6 66 4 003,60302,883.6549719,6011,6
DARCHULA,Apihimal Gaunpalika,524 7 75 4 003,70305,617.4779957,6779,10
HUMLA,Adanchuli Gaunpalika,524 6 66 4 007,60306,151.2866784,7116,47
SANKHUWASABHA,Bhotkhola Gaunpalika,524 1 09 4 002,10201,730.9584306,6576,8
SANKHUWASABHA,Chichila Gaunpalika,524 1 09 4 004,10204,88.2621797,7065,80
RASUWA,Gosaikunda Gaunpalika,524 3 29 4 002,30301,976.6713687,7143,7
KALIKOT,Mahawai Gaunpalika,524 6 64 4 006,60508,323.5313457,8323,25
GORKHA,Chumanubri Gaunpalika,524 4 36 4 001,40101,1649.199664,6923,4
BAJHANG,Surma Gaunpalika,524 7 67 4 002,70203,272.2816302,9022,33
