Province,District ,Name of municipalities,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Province 1,Taplejung,Aatharai Tribeni Gaunpalika,"2,888",541,"2,347","2,001",323,38,21,16,27,"1,881"
Province 1,Taplejung,Maiwakhola Gaunpalika,"2,194",436,"1,755","1,505",202,23,28,3,71,"1,307"
Province 1,Taplejung,Meringden Gaunpalika,"2,578",739,"1,839","1,434",82,6,12,0,33,"1,359"
Province 1,Taplejung,Mikwakhola Gaunpalika,"1,869",410,"1,459","1,235",55,1,6,1,52,"1,029"
Province 1,Taplejung,Phaktanlung Gaunpalika,"2,525",637,"1,888","1,601",149,12,13,0,74,"1,079"
Province 1,Taplejung,Phungling Municipality,"5,986",531,"5,447","4,588","1,648",992,294,95,451,"4,513"
Province 1,Taplejung,Sidingba Gaunpalika,"2,370",600,"1,770","1,506",79,12,8,1,97,"1,121"
Province 1,Taplejung,Sirijanga Gaunpalika,"3,227",811,"2,415","2,057",197,64,25,3,194,"1,521"
Province 1,Taplejung,Yangwarak Gaunpalika,"2,834",566,"2,268","1,974",223,10,5,5,104,"1,750"
Province 1,Panchthar,Falelung Gaunpalika,"4,552",952,"3,553","3,034",151,6,10,0,32,"2,027"
Province 1,Panchthar,Falgunanda Gaunpalika,"5,162",987,"4,156","3,250",812,107,48,11,40,"3,283"
Province 1,Panchthar,Hilihan Gaunpalika,"4,792",864,"3,919","3,300",337,45,19,3,142,"2,841"
Province 1,Panchthar,Kummayak Gaunpalika,"3,500",706,"2,792","2,319",514,43,31,4,25,"2,215"
Province 1,Panchthar,Miklajung Gaunpalika,"5,550","1,221","4,305","3,562",787,44,26,4,55,"3,232"
Province 1,Panchthar,Phidim Municipality,"10,994","1,943","8,940","6,702","1,496","1,531",446,210,397,"7,097"
Province 1,Panchthar,Tumbewa Gaunpalika,"2,815",660,"2,148","1,834",231,6,10,0,21,"1,490"
Province 1,Panchthar,Yangbarak Gaunpalika,"3,811",879,"2,917","2,252",440,76,33,3,228,"2,179"
Province 1,Ilam,Chulachuli Gaunpalika,"4,649",555,"4,042","2,688","1,301",123,65,19,102,"2,940"
Province 1,Ilam,Deumai Municipality,"7,123",800,"6,214","4,956","2,769",451,141,26,94,"5,270"
Province 1,Ilam,Fakfokathum Gaunpalika,"4,634",652,"3,947","3,241",926,57,35,7,108,"3,110"
Province 1,Ilam,Illam Municipality,"11,383",787,"10,524","7,948","6,259","1,582",884,336,"1,196","8,984"
Province 1,Ilam,Mai Jogmai Gaunpalika,"4,677",398,"4,226","3,320","1,619",146,36,6,66,"3,637"
Province 1,Ilam,Mai Municipality,"7,077","1,310","5,745","4,345","1,591",157,58,8,215,"3,731"
Province 1,Ilam,Mangsebung Gaunpalika,"3,729",723,"2,981","2,375",514,17,18,0,71,"2,088"
Province 1,Ilam,Rong Gaunpalika,"4,351",551,"3,725","2,853","1,226",63,27,3,95,"2,772"
Province 1,Ilam,Sandakpur Gaunpalika,"3,643",362,"3,219","2,494","1,261",92,34,2,20,"2,409"
