objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,acc_drin_tap_pi_wtr,5245,Tap piped water,,Accessibility to drinking ,
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,acc_drin_tap_pi_wtr,2445,Tap piped water,,Accessibility to drinking ,
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,acc_drin_tap_pi_wtr,1724,Tap piped water,,Accessibility to drinking ,
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,acc_drin_tap_pi_wtr,2978,Tap piped water,,Accessibility to drinking ,
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,acc_drin_tap_pi_wtr,2325,Tap piped water,,Accessibility to drinking ,
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,acc_drin_tap_pi_wtr,2041,Tap piped water,,Accessibility to drinking ,
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,acc_drin_tap_pi_wtr,2401,Tap piped water,,Accessibility to drinking ,
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,acc_drin_tap_pi_wtr,2586,Tap piped water,,Accessibility to drinking ,
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,acc_drin_tap_pi_wtr,2216,Tap piped water,,Accessibility to drinking ,
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,acc_drin_tap_pi_wtr,9026,Tap piped water,,Accessibility to drinking ,
,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,2,12,10902,524 1 02 4 001,NP0102401,acc_drin_tap_pi_wtr,3649,Tap piped water,,Accessibility to drinking ,
,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,2,17,10107,524 1 02 4 002,NP0102402,acc_drin_tap_pi_wtr,3377,Tap piped water,,Accessibility to drinking ,
,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,2,10,10903,524 1 02 4 003,NP0102403,acc_drin_tap_pi_wtr,4244,Tap piped water,,Accessibility to drinking ,
,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,2,13,10906,524 1 02 4 004,NP0102404,acc_drin_tap_pi_wtr,1174,Tap piped water,,Accessibility to drinking ,
,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,2,11,10905,524 1 02 4 005,NP0102405,acc_drin_tap_pi_wtr,3988,Tap piped water,,Accessibility to drinking ,
