objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,e_i_f_n_b_s,1975,Boys Students,,Total number of students of all school types ,
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,e_i_f_n_b_s,1611,Boys Students,,Total number of students of all school types ,
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,e_i_f_n_b_s,1269,Boys Students,,Total number of students of all school types ,
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,e_i_f_n_b_s,1998,Boys Students,,Total number of students of all school types ,
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,e_i_f_n_b_s,1812,Boys Students,,Total number of students of all school types ,
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,e_i_f_n_b_s,3279,Boys Students,,Total number of students of all school types ,
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,e_i_f_n_b_s,1911,Boys Students,,Total number of students of all school types ,
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,e_i_f_n_b_s,1906,Boys Students,,Total number of students of all school types ,
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,e_i_f_n_b_s,2526,Boys Students,,Total number of students of all school types ,
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,e_i_f_n_b_s,3911,Boys Students,,Total number of students of all school types ,
,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,2,12,10902,524 1 02 4 001,NP0102401,e_i_f_n_b_s,2639,Boys Students,,Total number of students of all school types ,
,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,2,17,10107,524 1 02 4 002,NP0102402,e_i_f_n_b_s,2179,Boys Students,,Total number of students of all school types ,
,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,2,10,10903,524 1 02 4 003,NP0102403,e_i_f_n_b_s,3439,Boys Students,,Total number of students of all school types ,
,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,2,13,10906,524 1 02 4 004,NP0102404,e_i_f_n_b_s,2873,Boys Students,,Total number of students of all school types ,
,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,2,11,10905,524 1 02 4 005,NP0102405,e_i_f_n_b_s,3024,Boys Students,,Total number of students of all school types ,
,Tumbewa Gaunpalika,PANCHTHAR,Tumbewa,Gaunpalika,1,2,16,10907,524 1 02 4 006,NP0102406,e_i_f_n_b_s,1932,Boys Students,,Total number of students of all school types ,
,Miklajung Gaunpalika,PANCHTHAR,Miklajung,Gaunpalika,1,2,14,10908,524 1 02 4 007,NP0102407,e_i_f_n_b_s,7252,Boys Students,,Total number of students of all school types ,
,Deumai Nagarpalika,ILAM,Deumai,Nagarpalika,1,3,19,11004,524 1 03 3 001,NP0103301,e_i_f_n_b_s,6882,Boys Students,,Total number of students of all school types ,
,Illam Nagarpalika,ILAM,Illam,Nagarpalika,1,3,21,11003,524 1 03 3 002,NP0103302,e_i_f_n_b_s,2058,Boys Students,,Total number of students of all school types ,
,Suryodaya Nagarpalika,ILAM,Suryodaya,Nagarpalika,1,3,27,11009,524 1 03 3 003,NP0103303,e_i_f_n_b_s,6218,Boys Students,,Total number of students of all school types ,
,Mai Nagarpalika,ILAM,Mai,Nagarpalika,1,3,22,11008,524 1 03 3 004,NP0103304,e_i_f_n_b_s,2136,Boys Students,,Total number of students of all school types ,
,Fakphokthum Gaunpalika,ILAM,Fakphokthum,Gaunpalika,1,3,20,11005,524 1 03 4 001,NP0103401,e_i_f_n_b_s,3859,Boys Students,,Total number of students of all school types ,
,Sandakpur Gaunpalika,ILAM,Sandakpur,Gaunpalika,1,3,26,11002,524 1 03 4 002,NP0103402,e_i_f_n_b_s,1404,Boys Students,,Total number of students of all school types ,
,Maijogmai Gaunpalika,ILAM,Maijogmai,Gaunpalika,1,3,23,11001,524 1 03 4 003,NP0103403,e_i_f_n_b_s,2385,Boys Students,,Total number of students of all school types ,
,Chulachuli Gaunpalika,ILAM,Chulachuli,Gaunpalika,1,3,18,11007,524 1 03 4 004,NP0103404,e_i_f_n_b_s,4099,Boys Students,,Total number of students of all school types ,
,Mangsebung Gaunpalika,ILAM,Mangsebung,Gaunpalika,1,3,24,11006,524 1 03 4 005,NP0103405,e_i_f_n_b_s,2799,Boys Students,,Total number of students of all school types ,
,Rong Gaunpalika,ILAM,Rong,Gaunpalika,1,3,25,11010,524 1 03 4 006,NP0103406,e_i_f_n_b_s,1516,Boys Students,,Total number of students of all school types ,
,Damak Nagarpalika,JHAPA,Damak,Nagarpalika,1,4,33,11107,524 1 04 3 001,NP0104301,e_i_f_n_b_s,3832,Boys Students,,Total number of students of all school types ,
,Shivasataxi Nagarpalika,JHAPA,Shivasataxi,Nagarpalika,1,4,42,11105,524 1 04 3 002,NP0104302,e_i_f_n_b_s,11648,Boys Students,,Total number of students of all school types ,
,Kankai Nagarpalika,JHAPA,Kankai,Nagarpalika,1,4,40,11104,524 1 04 3 003,NP0104303,e_i_f_n_b_s,8851,Boys Students,,Total number of students of all school types ,
,Arjundhara Nagarpalika,JHAPA,Arjundhara,Nagarpalika,1,4,28,11103,524 1 04 3 004,NP0104304,e_i_f_n_b_s,6080,Boys Students,,Total number of students of all school types ,
,Mechinagar Nagarpalika,JHAPA,Mechinagar,Nagarpalika,1,4,41,11101,524 1 04 3 005,NP0104305,e_i_f_n_b_s,5129,Boys Students,,Total number of students of all school types ,
,Gauradhaha Nagarpalika,JHAPA,Gauradhaha,Nagarpalika,1,4,34,11108,524 1 04 3 006,NP0104306,e_i_f_n_b_s,5203,Boys Students,,Total number of students of all school types ,
,Birtamod Nagarpalika,JHAPA,Birtamod,Nagarpalika,1,4,31,11112,524 1 04 3 007,NP0104307,e_i_f_n_b_s,4763,Boys Students,,Total number of students of all school types ,
,Bhadrapur Nagarpalika,JHAPA,Bhadrapur,Nagarpalika,1,4,30,11114,524 1 04 3 008,NP0104308,e_i_f_n_b_s,4630,Boys Students,,Total number of students of all school types ,
,Kamal Gaunpalika,JHAPA,Kamal,Gaunpalika,1,4,39,11106,524 1 04 4 001,NP0104401,e_i_f_n_b_s,15121,Boys Students,,Total number of students of all school types ,
