objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,h_i_p_p_i_s_c,91.5343915343915,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,h_i_p_p_i_s_c,89.1304347826087,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,h_i_p_p_i_s_c,100,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,h_i_p_p_i_s_c,93.5323383084577,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,h_i_p_p_i_s_c,87.3417721518987,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,h_i_p_p_i_s_c,94.6153846153846,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,h_i_p_p_i_s_c,97.737556561086,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,h_i_p_p_i_s_c,100,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,h_i_p_p_i_s_c,77.7070063694268,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,h_i_p_p_i_s_c,92.4137931034483,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,2,12,10902,524 1 02 4 001,NP0102401,h_i_p_p_i_s_c,100,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,2,17,10107,524 1 02 4 002,NP0102402,h_i_p_p_i_s_c,100,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,2,10,10903,524 1 02 4 003,NP0102403,h_i_p_p_i_s_c,99.1869918699187,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,2,13,10906,524 1 02 4 004,NP0102404,h_i_p_p_i_s_c,92.1397379912664,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,2,11,10905,524 1 02 4 005,NP0102405,h_i_p_p_i_s_c,97.0588235294118,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Tumbewa Gaunpalika,PANCHTHAR,Tumbewa,Gaunpalika,1,2,16,10907,524 1 02 4 006,NP0102406,h_i_p_p_i_s_c,98.6899563318777,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Miklajung Gaunpalika,PANCHTHAR,Miklajung,Gaunpalika,1,2,14,10908,524 1 02 4 007,NP0102407,h_i_p_p_i_s_c,41.6666666666667,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Deumai Nagarpalika,ILAM,Deumai,Nagarpalika,1,3,19,11004,524 1 03 3 001,NP0103301,h_i_p_p_i_s_c,99.537037037037,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Illam Nagarpalika,ILAM,Illam,Nagarpalika,1,3,21,11003,524 1 03 3 002,NP0103302,h_i_p_p_i_s_c,98.2857142857143,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Suryodaya Nagarpalika,ILAM,Suryodaya,Nagarpalika,1,3,27,11009,524 1 03 3 003,NP0103303,h_i_p_p_i_s_c,86.6071428571429,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Mai Nagarpalika,ILAM,Mai,Nagarpalika,1,3,22,11008,524 1 03 3 004,NP0103304,h_i_p_p_i_s_c,99.3975903614458,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Fakphokthum Gaunpalika,ILAM,Fakphokthum,Gaunpalika,1,3,20,11005,524 1 03 4 001,NP0103401,h_i_p_p_i_s_c,102.040816326531,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Sandakpur Gaunpalika,ILAM,Sandakpur,Gaunpalika,1,3,26,11002,524 1 03 4 002,NP0103402,h_i_p_p_i_s_c,100,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Maijogmai Gaunpalika,ILAM,Maijogmai,Gaunpalika,1,3,23,11001,524 1 03 4 003,NP0103403,h_i_p_p_i_s_c,93.2038834951456,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Chulachuli Gaunpalika,ILAM,Chulachuli,Gaunpalika,1,3,18,11007,524 1 03 4 004,NP0103404,h_i_p_p_i_s_c,97.1631205673759,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Mangsebung Gaunpalika,ILAM,Mangsebung,Gaunpalika,1,3,24,11006,524 1 03 4 005,NP0103405,h_i_p_p_i_s_c,100,Percentage of planned immunization sessions conducted,,Health Indicators ,
,Rong Gaunpalika,ILAM,Rong,Gaunpalika,1,3,25,11010,524 1 03 4 006,NP0103406,h_i_p_p_i_s_c,100,Percentage of planned immunization sessions conducted,,Health Indicators ,
