objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,acc_t_f_n_s,20,Toilet Facility not stated,,Accessibility to toilet,
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,acc_t_f_n_s,24,Toilet Facility not stated,,Accessibility to toilet,
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,acc_t_f_n_s,8,Toilet Facility not stated,,Accessibility to toilet,
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,acc_t_f_n_s,19,Toilet Facility not stated,,Accessibility to toilet,
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,acc_t_f_n_s,17,Toilet Facility not stated,,Accessibility to toilet,
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,acc_t_f_n_s,15,Toilet Facility not stated,,Accessibility to toilet,
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,acc_t_f_n_s,6,Toilet Facility not stated,,Accessibility to toilet,
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,acc_t_f_n_s,7,Toilet Facility not stated,,Accessibility to toilet,
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,acc_t_f_n_s,15,Toilet Facility not stated,,Accessibility to toilet,
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,acc_t_f_n_s,31,Toilet Facility not stated,,Accessibility to toilet,
,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,2,12,10902,524 1 02 4 001,NP0102401,acc_t_f_n_s,21,Toilet Facility not stated,,Accessibility to toilet,
,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,2,17,10107,524 1 02 4 002,NP0102402,acc_t_f_n_s,9,Toilet Facility not stated,,Accessibility to toilet,
,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,2,10,10903,524 1 02 4 003,NP0102403,acc_t_f_n_s,29,Toilet Facility not stated,,Accessibility to toilet,
,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,2,13,10906,524 1 02 4 004,NP0102404,acc_t_f_n_s,18,Toilet Facility not stated,,Accessibility to toilet,
,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,2,11,10905,524 1 02 4 005,NP0102405,acc_t_f_n_s,14,Toilet Facility not stated,,Accessibility to toilet,
,Tumbewa Gaunpalika,PANCHTHAR,Tumbewa,Gaunpalika,1,2,16,10907,524 1 02 4 006,NP0102406,acc_t_f_n_s,4,Toilet Facility not stated,,Accessibility to toilet,
,Miklajung Gaunpalika,PANCHTHAR,Miklajung,Gaunpalika,1,2,14,10908,524 1 02 4 007,NP0102407,acc_t_f_n_s,11,Toilet Facility not stated,,Accessibility to toilet,
,Deumai Nagarpalika,ILAM,Deumai,Nagarpalika,1,3,19,11004,524 1 03 3 001,NP0103301,acc_t_f_n_s,32,Toilet Facility not stated,,Accessibility to toilet,
,Illam Nagarpalika,ILAM,Illam,Nagarpalika,1,3,21,11003,524 1 03 3 002,NP0103302,acc_t_f_n_s,94,Toilet Facility not stated,,Accessibility to toilet,
,Suryodaya Nagarpalika,ILAM,Suryodaya,Nagarpalika,1,3,27,11009,524 1 03 3 003,NP0103303,acc_t_f_n_s,53,Toilet Facility not stated,,Accessibility to toilet,
,Mai Nagarpalika,ILAM,Mai,Nagarpalika,1,3,22,11008,524 1 03 3 004,NP0103304,acc_t_f_n_s,32,Toilet Facility not stated,,Accessibility to toilet,
,Fakphokthum Gaunpalika,ILAM,Fakphokthum,Gaunpalika,1,3,20,11005,524 1 03 4 001,NP0103401,acc_t_f_n_s,22,Toilet Facility not stated,,Accessibility to toilet,
,Sandakpur Gaunpalika,ILAM,Sandakpur,Gaunpalika,1,3,26,11002,524 1 03 4 002,NP0103402,acc_t_f_n_s,9,Toilet Facility not stated,,Accessibility to toilet,
,Maijogmai Gaunpalika,ILAM,Maijogmai,Gaunpalika,1,3,23,11001,524 1 03 4 003,NP0103403,acc_t_f_n_s,16,Toilet Facility not stated,,Accessibility to toilet,
,Chulachuli Gaunpalika,ILAM,Chulachuli,Gaunpalika,1,3,18,11007,524 1 03 4 004,NP0103404,acc_t_f_n_s,19,Toilet Facility not stated,,Accessibility to toilet,
,Mangsebung Gaunpalika,ILAM,Mangsebung,Gaunpalika,1,3,24,11006,524 1 03 4 005,NP0103405,acc_t_f_n_s,41,Toilet Facility not stated,,Accessibility to toilet,
,Rong Gaunpalika,ILAM,Rong,Gaunpalika,1,3,25,11010,524 1 03 4 006,NP0103406,acc_t_f_n_s,25,Toilet Facility not stated,,Accessibility to toilet,
,Damak Nagarpalika,JHAPA,Damak,Nagarpalika,1,4,33,11107,524 1 04 3 001,NP0104301,acc_t_f_n_s,119,Toilet Facility not stated,,Accessibility to toilet,
,Shivasataxi Nagarpalika,JHAPA,Shivasataxi,Nagarpalika,1,4,42,11105,524 1 04 3 002,NP0104302,acc_t_f_n_s,64,Toilet Facility not stated,,Accessibility to toilet,
,Kankai Nagarpalika,JHAPA,Kankai,Nagarpalika,1,4,40,11104,524 1 04 3 003,NP0104303,acc_t_f_n_s,19,Toilet Facility not stated,,Accessibility to toilet,
,Arjundhara Nagarpalika,JHAPA,Arjundhara,Nagarpalika,1,4,28,11103,524 1 04 3 004,NP0104304,acc_t_f_n_s,29,Toilet Facility not stated,,Accessibility to toilet,
,Mechinagar Nagarpalika,JHAPA,Mechinagar,Nagarpalika,1,4,41,11101,524 1 04 3 005,NP0104305,acc_t_f_n_s,82,Toilet Facility not stated,,Accessibility to toilet,
,Gauradhaha Nagarpalika,JHAPA,Gauradhaha,Nagarpalika,1,4,34,11108,524 1 04 3 006,NP0104306,acc_t_f_n_s,33,Toilet Facility not stated,,Accessibility to toilet,
,Birtamod Nagarpalika,JHAPA,Birtamod,Nagarpalika,1,4,31,11112,524 1 04 3 007,NP0104307,acc_t_f_n_s,77,Toilet Facility not stated,,Accessibility to toilet,
,Bhadrapur Nagarpalika,JHAPA,Bhadrapur,Nagarpalika,1,4,30,11114,524 1 04 3 008,NP0104308,acc_t_f_n_s,79,Toilet Facility not stated,,Accessibility to toilet,
,Kamal Gaunpalika,JHAPA,Kamal,Gaunpalika,1,4,39,11106,524 1 04 4 001,NP0104401,acc_t_f_n_s,28,Toilet Facility not stated,,Accessibility to toilet,
,Buddhashanti Gaunpalika,JHAPA,Buddhashanti,Gaunpalika,1,4,32,11102,524 1 04 4 002,NP0104402,acc_t_f_n_s,150,Toilet Facility not stated,,Accessibility to toilet,
,Gauriganj Gaunpalika,JHAPA,Gauriganj,Gaunpalika,1,4,35,11109,524 1 04 4 003,NP0104403,acc_t_f_n_s,20,Toilet Facility not stated,,Accessibility to toilet,
,Jhapa Gaunpalika,JHAPA,Jhapa,Gaunpalika,1,4,37,11110,524 1 04 4 004,NP0104404,acc_t_f_n_s,25,Toilet Facility not stated,,Accessibility to toilet,
,Barhadashi Gaunpalika,JHAPA,Barhadashi,Gaunpalika,1,4,29,11111,524 1 04 4 005,NP0104405,acc_t_f_n_s,25,Toilet Facility not stated,,Accessibility to toilet,
,Haldibari Gaunpalika,JHAPA,Haldibari,Gaunpalika,1,4,36,11113,524 1 04 4 006,NP0104406,acc_t_f_n_s,14,Toilet Facility not stated,,Accessibility to toilet,
,Kachankawal Gaunpalika,JHAPA,Kachankawal,Gaunpalika,1,4,38,11115,524 1 04 4 007,NP0104407,acc_t_f_n_s,15,Toilet Facility not stated,,Accessibility to toilet,
,Biratnagar Mahanagarpalika,MORANG,Biratnagar,Mahanagarpalika,1,5,44,11214,524 1 05 1 001,NP0105101,acc_t_f_n_s,360,Toilet Facility not stated,,Accessibility to toilet,
,Letang Nagarpalika,MORANG,Letang,Nagarpalika,1,5,52,11202,524 1 05 3 001,NP0105301,acc_t_f_n_s,21,Toilet Facility not stated,,Accessibility to toilet,
,Sundarharaicha Nagarpalika,MORANG,Sundarharaicha,Nagarpalika,1,5,57,11204,524 1 05 3 002,NP0105302,acc_t_f_n_s,106,Toilet Facility not stated,,Accessibility to toilet,
,Belbari Nagarpalika,MORANG,Belbari,Nagarpalika,1,5,43,11205,524 1 05 3 003,NP0105303,acc_t_f_n_s,70,Toilet Facility not stated,,Accessibility to toilet,
,Patahrishanishchare Nagarpalika,MORANG,Patahrishanishchare,Nagarpalika,1,5,54,11207,524 1 05 3 004,NP0105304,acc_t_f_n_s,59,Toilet Facility not stated,,Accessibility to toilet,
,Uralabari Nagarpalika,MORANG,Uralabari,Nagarpalika,1,5,59,11208,524 1 05 3 005,NP0105305,acc_t_f_n_s,9,Toilet Facility not stated,,Accessibility to toilet,
,Rangeli Nagarpalika,MORANG,Rangeli,Nagarpalika,1,5,55,11211,524 1 05 3 006,NP0105306,acc_t_f_n_s,21,Toilet Facility not stated,,Accessibility to toilet,
,Sunwarshi Nagarpalika,MORANG,Sunwarshi,Nagarpalika,1,5,58,11210,524 1 05 3 007,NP0105307,acc_t_f_n_s,36,Toilet Facility not stated,,Accessibility to toilet,
,Ratuwamai Nagarpalika,MORANG,Ratuwamai,Nagarpalika,1,5,56,11209,524 1 05 3 008,NP0105308,acc_t_f_n_s,19,Toilet Facility not stated,,Accessibility to toilet,
,Kerabari Gaunpalika,MORANG,Kerabari,Gaunpalika,1,5,51,11203,524 1 05 4 001,NP0105401,acc_t_f_n_s,18,Toilet Facility not stated,,Accessibility to toilet,
,Miklajung Gaunpalika,MORANG,Miklajung,Gaunpalika,1,5,53,10908,524 1 05 4 002,NP0105402,acc_t_f_n_s,12,Toilet Facility not stated,,Accessibility to toilet,
,Kanepokhari Gaunpalika,MORANG,Kanepokhari,Gaunpalika,1,5,49,11206,524 1 05 4 003,NP0105403,acc_t_f_n_s,27,Toilet Facility not stated,,Accessibility to toilet,
,Budhiganga Gaunpalika,MORANG,Budhiganga,Gaunpalika,1,5,45,11213,524 1 05 4 004,NP0105404,acc_t_f_n_s,34,Toilet Facility not stated,,Accessibility to toilet,
,Gramthan Gaunpalika,MORANG,Gramthan,Gaunpalika,1,5,47,11212,524 1 05 4 005,NP0105405,acc_t_f_n_s,28,Toilet Facility not stated,,Accessibility to toilet,
,Katahari Gaunpalika,MORANG,Katahari,Gaunpalika,1,5,50,11215,524 1 05 4 006,NP0105406,acc_t_f_n_s,18,Toilet Facility not stated,,Accessibility to toilet,
,Jahada Gaunpalika,MORANG,Jahada,Gaunpalika,1,5,48,11217,524 1 05 4 007,NP0105407,acc_t_f_n_s,13,Toilet Facility not stated,,Accessibility to toilet,
,Dhanpalthan Gaunpalika,MORANG,Dhanpalthan,Gaunpalika,1,5,46,11216,524 1 05 4 008,NP0105408,acc_t_f_n_s,24,Toilet Facility not stated,,Accessibility to toilet,
,Dharan Upamahanagarpalika,SUNSARI,Dharan,Upamahanagarpalika,1,6,64,11301,524 1 06 2 001,NP0106201,acc_t_f_n_s,238,Toilet Facility not stated,,Accessibility to toilet,
,Itahari Upamahanagarpalika,SUNSARI,Itahari,Upamahanagarpalika,1,6,69,11306,524 1 06 2 002,NP0106202,acc_t_f_n_s,241,Toilet Facility not stated,,Accessibility to toilet,
,Barah Nagarpalika,SUNSARI,Barah,Nagarpalika,1,6,60,11302,524 1 06 3 001,NP0106301,acc_t_f_n_s,79,Toilet Facility not stated,,Accessibility to toilet,
,Ramdhuni Nagarpalika,SUNSARI,Ramdhuni,Nagarpalika,1,6,71,11305,524 1 06 3 002,NP0106302,acc_t_f_n_s,45,Toilet Facility not stated,,Accessibility to toilet,
,Inaruwa Nagarpalika,SUNSARI,Inaruwa,Nagarpalika,1,6,68,11309,524 1 06 3 003,NP0106303,acc_t_f_n_s,40,Toilet Facility not stated,,Accessibility to toilet,
,Duhabi Nagarpalika,SUNSARI,Duhabi,Nagarpalika,1,6,65,11307,524 1 06 3 004,NP0106304,acc_t_f_n_s,75,Toilet Facility not stated,,Accessibility to toilet,
,Koshi Gaunpalika,SUNSARI,Koshi,Gaunpalika,1,6,70,11303,524 1 06 4 001,NP0106401,acc_t_f_n_s,31,Toilet Facility not stated,,Accessibility to toilet,
,Bhokraha Gaunpalika,SUNSARI,Bhokraha,Gaunpalika,1,6,62,11304,524 1 06 4 002,NP0106402,acc_t_f_n_s,19,Toilet Facility not stated,,Accessibility to toilet,
,Gadhi Gaunpalika,SUNSARI,Gadhi,Gaunpalika,1,6,66,11308,524 1 06 4 003,NP0106403,acc_t_f_n_s,42,Toilet Facility not stated,,Accessibility to toilet,
,Harinagara Gaunpalika,SUNSARI,Harinagara,Gaunpalika,1,6,67,11310,524 1 06 4 004,NP0106404,acc_t_f_n_s,26,Toilet Facility not stated,,Accessibility to toilet,
,Dewanganj Gaunpalika,SUNSARI,Dewanganj,Gaunpalika,1,6,63,11311,524 1 06 4 005,NP0106405,acc_t_f_n_s,13,Toilet Facility not stated,,Accessibility to toilet,
