objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,acc_n_e_s_c_n_c_pe,3217,Construction_PE,,Accessibility to toilet,
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,acc_n_e_s_c_n_c_pe,1453,Construction_PE,,Accessibility to toilet,
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,acc_n_e_s_c_n_c_pe,995,Construction_PE,,Accessibility to toilet,
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,acc_n_e_s_c_n_c_pe,1694,Construction_PE,,Accessibility to toilet,
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,acc_n_e_s_c_n_c_pe,1180,Construction_PE,,Accessibility to toilet,
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,acc_n_e_s_c_n_c_pe,1518,Construction_PE,,Accessibility to toilet,
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,acc_n_e_s_c_n_c_pe,1669,Construction_PE,,Accessibility to toilet,
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,acc_n_e_s_c_n_c_pe,1483,Construction_PE,,Accessibility to toilet,
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,acc_n_e_s_c_n_c_pe,1447,Construction_PE,,Accessibility to toilet,
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,acc_n_e_s_c_n_c_pe,6924,Construction_PE,,Accessibility to toilet,
,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,2,12,10902,524 1 02 4 001,NP0102401,acc_n_e_s_c_n_c_pe,2783,Construction_PE,,Accessibility to toilet,
,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,2,17,10107,524 1 02 4 002,NP0102402,acc_n_e_s_c_n_c_pe,2048,Construction_PE,,Accessibility to toilet,
,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,2,10,10903,524 1 02 4 003,NP0102403,acc_n_e_s_c_n_c_pe,3561,Construction_PE,,Accessibility to toilet,
,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,2,13,10906,524 1 02 4 004,NP0102404,acc_n_e_s_c_n_c_pe,2345,Construction_PE,,Accessibility to toilet,
,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,2,11,10905,524 1 02 4 005,NP0102405,acc_n_e_s_c_n_c_pe,3592,Construction_PE,,Accessibility to toilet,
,Tumbewa Gaunpalika,PANCHTHAR,Tumbewa,Gaunpalika,1,2,16,10907,524 1 02 4 006,NP0102406,acc_n_e_s_c_n_c_pe,1669,Construction_PE,,Accessibility to toilet,
,Miklajung Gaunpalika,PANCHTHAR,Miklajung,Gaunpalika,1,2,14,10908,524 1 02 4 007,NP0102407,acc_n_e_s_c_n_c_pe,3877,Construction_PE,,Accessibility to toilet,
,Deumai Nagarpalika,ILAM,Deumai,Nagarpalika,1,3,19,11004,524 1 03 3 001,NP0103301,acc_n_e_s_c_n_c_pe,4113,Construction_PE,,Accessibility to toilet,
,Illam Nagarpalika,ILAM,Illam,Nagarpalika,1,3,21,11003,524 1 03 3 002,NP0103302,acc_n_e_s_c_n_c_pe,4880,Construction_PE,,Accessibility to toilet,
,Suryodaya Nagarpalika,ILAM,Suryodaya,Nagarpalika,1,3,27,11009,524 1 03 3 003,NP0103303,acc_n_e_s_c_n_c_pe,6699,Construction_PE,,Accessibility to toilet,
,Mai Nagarpalika,ILAM,Mai,Nagarpalika,1,3,22,11008,524 1 03 3 004,NP0103304,acc_n_e_s_c_n_c_pe,4065,Construction_PE,,Accessibility to toilet,
,Fakphokthum Gaunpalika,ILAM,Fakphokthum,Gaunpalika,1,3,20,11005,524 1 03 4 001,NP0103401,acc_n_e_s_c_n_c_pe,3414,Construction_PE,,Accessibility to toilet,
,Sandakpur Gaunpalika,ILAM,Sandakpur,Gaunpalika,1,3,26,11002,524 1 03 4 002,NP0103402,acc_n_e_s_c_n_c_pe,2442,Construction_PE,,Accessibility to toilet,
,Maijogmai Gaunpalika,ILAM,Maijogmai,Gaunpalika,1,3,23,11001,524 1 03 4 003,NP0103403,acc_n_e_s_c_n_c_pe,2997,Construction_PE,,Accessibility to toilet,
,Chulachuli Gaunpalika,ILAM,Chulachuli,Gaunpalika,1,3,18,11007,524 1 03 4 004,NP0103404,acc_n_e_s_c_n_c_pe,2413,Construction_PE,,Accessibility to toilet,
