objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,acc_n_e_s_c_n_sw_ne,77,Social_Work_NE,,National Economic Census No,
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,acc_n_e_s_c_n_sw_ne,38,Social_Work_NE,,National Economic Census No,
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,acc_n_e_s_c_n_sw_ne,29,Social_Work_NE,,National Economic Census No,
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,acc_n_e_s_c_n_sw_ne,59,Social_Work_NE,,National Economic Census No,
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,acc_n_e_s_c_n_sw_ne,40,Social_Work_NE,,National Economic Census No,
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,acc_n_e_s_c_n_sw_ne,31,Social_Work_NE,,National Economic Census No,
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,acc_n_e_s_c_n_sw_ne,33,Social_Work_NE,,National Economic Census No,
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,acc_n_e_s_c_n_sw_ne,57,Social_Work_NE,,National Economic Census No,
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,acc_n_e_s_c_n_sw_ne,37,Social_Work_NE,,National Economic Census No,
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,acc_n_e_s_c_n_sw_ne,22,Social_Work_NE,,National Economic Census No,
,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,2,12,10902,524 1 02 4 001,NP0102401,acc_n_e_s_c_n_sw_ne,15,Social_Work_NE,,National Economic Census No,
,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,2,17,10107,524 1 02 4 002,NP0102402,acc_n_e_s_c_n_sw_ne,9,Social_Work_NE,,National Economic Census No,
,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,2,10,10903,524 1 02 4 003,NP0102403,acc_n_e_s_c_n_sw_ne,15,Social_Work_NE,,National Economic Census No,
,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,2,13,10906,524 1 02 4 004,NP0102404,acc_n_e_s_c_n_sw_ne,12,Social_Work_NE,,National Economic Census No,
,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,2,11,10905,524 1 02 4 005,NP0102405,acc_n_e_s_c_n_sw_ne,11,Social_Work_NE,,National Economic Census No,
,Tumbewa Gaunpalika,PANCHTHAR,Tumbewa,Gaunpalika,1,2,16,10907,524 1 02 4 006,NP0102406,acc_n_e_s_c_n_sw_ne,9,Social_Work_NE,,National Economic Census No,
,Miklajung Gaunpalika,PANCHTHAR,Miklajung,Gaunpalika,1,2,14,10908,524 1 02 4 007,NP0102407,acc_n_e_s_c_n_sw_ne,13,Social_Work_NE,,National Economic Census No,
