provinceId,districtId,hlcitId,District
7,69,69,Achham
5,51,50,Arghakhanchi
4,45,43,Baglung
7,74,74,Baitadi
7,68,67,Bajhang
7,67,68,Bajura
5,57,57,Banke
2,33,33,Bara
5,58,58,Bardiya
3,26,26,Bhaktapur
1,10,10,Bhojpur
3,35,35,Chitawan
7,73,73,Dadeldhura
6,60,61,Dailekh
5,56,56,Dang
7,75,75,Darchula
3,30,30,Dhading
1,7,7,Dhankuta
2,17,17,Dhanusha
3,22,22,Dolakha
6,62,62,Dolpa
7,70,70,Doti
4,36,36,Gorkha
5,46,51,Gulmi
6,66,66,Humla
1,3,3,Ilam
6,61,60,Jajarkot
1,4,4,Jhapa
6,63,63,Jumla
3,24,24,Kabhrepalanchok
7,71,71,Kailali
6,64,64,Kalikot
7,72,72,Kanchanpur
5,50,49,Kapilbastu
4,40,39,Kaski
3,27,27,Kathmandu
1,13,12,Khotang
3,25,25,Lalitpur
4,37,37,Lamjung
2,18,18,Mahottari
3,31,31,Makawanpur
4,41,38,Manang
1,5,5,Morang
6,65,65,Mugu
4,42,45,Mustang
4,43,44,Myagdi
4,76,47,Nawalparasi East
5,48,76,Nawalparasi West
3,28,28,Nuwakot
1,12,13,Okhaldhunga
5,47,46,Palpa
1,2,2,Panchthar
4,44,42,Parbat
2,34,34,Parsa
5,52,55,Pyuthan
3,21,21,Ramechhap
3,29,29,Rasuwa
2,32,32,Rautahat
5,53,54,Rolpa
5,77,52,Rukum East
6,54,77,Rukum West
5,49,48,Rupandehi
6,55,53,Salyan
1,9,9,Sankhuwasabha
2,15,15,Saptari
2,19,19,Sarlahi
3,20,20,Sindhuli
3,23,23,Sindhupalchok
2,16,16,Siraha
1,11,11,Solukhumbu
1,6,6,Sunsari
6,59,59,Surkhet
4,39,41,Syangja
4,38,40,Tanahu
1,1,1,Taplejung
1,8,8,Terhathum
1,14,14,Udayapur
