munid,HLCIT_CODE,Municipality
96,524 1 10 4 006,Aamchowk Gaunpalika
432,524 4 41 4 001,Aandhikhola Gaunpalika
403,524 4 36 4 006,Aarughat Gaunpalika
618,524 6 61 3 001,Aathabis Nagarpalika
564,524 6 52 3 001,Aathbiskot Nagarpalika
80,524 1 08 4 003,Aathrai Gaunpalika
1,524 1 01 4 006,Aathrai Tribeni Gaunpalika
176,524 2 17 4 003,Aaurahi Gaunpalika
665,524 6 66 4 007,Adanchuli Gaunpalika
363,524 2 33 4 009,Adarshkotwal Gaunpalika
706,524 7 70 4 001,Adharsha Gaunpalika
140,524 2 15 4 002,Agnisair Krishna Savaran Gaunpalika
121,524 1 12 4 001,Ainselukhark Gaunpalika
739,524 7 73 4 002,Ajaymeru Gaunpalika
404,524 4 36 4 002,Ajirkot Gaunpalika
740,524 7 73 4 004,Alital Gaunpalika
741,524 7 73 3 002,Amargadhi Nagarpalika
422,524 4 40 4 005,Anbukhaireni Gaunpalika
443,524 4 39 4 001,Annapurna Gaunpalika
457,524 4 44 4 003,Annapurna Gaunpalika
756,524 7 75 4 003,Apihimal Gaunpalika
433,524 4 41 4 003,Arjunchaupari Gaunpalika
28,524 1 04 3 004,Arjundhara Nagarpalika
159,524 2 16 4 003,Arnama Gaunpalika
97,524 1 10 4 003,Arun Gaunpalika
160,524 2 16 4 004,Aurahi Gaunpalika
194,524 2 18 3 003,Aurahi Nagarpalika
544,524 5 55 4 007,Ayirabati Gaunpalika
581,524 5 56 4 001,Babai Gaunpalika
599,524 5 58 4 002,Badhaiyatal Gaunpalika
471,524 4 43 4 003,Badigad Gaunpalika
707,524 7 70 4 006,Badikedar Gaunpalika
672,524 7 68 3 002,Badimalika Nagarpalika
571,524 6 53 3 002,Bagchaur Nagarpalika
472,524 4 43 3 003,Baglung Nagarpalika
280,524 3 25 4 001,Bagmati Gaunpalika
333,524 3 31 4 008,Bagmati Gaunpalika
209,524 2 19 3 001,Bagmati Nagarpalika
494,524 5 46 4 005,Bagnaskali Gaunpalika
380,524 2 34 3 002,Bahudaramai Nagarpalika
591,524 5 57 4 002,Baijanath Gaunpalika
