adm2_code,adm2_pop,geog
524 1 01 3 001,29023.9156,Hill
524 1 01 4 001,13499.675809999999,High Mountain
524 1 01 4 002,10139.54234,High Mountain
524 1 01 4 003,17611.82491,Mountain
524 1 01 4 004,13980.5361,Mountain
524 1 01 4 005,12360.72778,Mountain
524 1 01 4 006,15438.3856,Hill
524 1 01 4 007,15334.365719999998,Hill
524 1 01 4 008,13642.020530000002,Hill
524 1 02 3 001,56993.42148,Hill
524 1 02 4 001,25871.59433,Hill
524 1 02 4 002,20441.526380000003,Hill
524 1 02 4 003,24660.60375,Hill
524 1 02 4 004,18177.254969999998,Hill
524 1 02 4 005,27047.045019999998,Hill
524 1 02 4 006,15268.54352,Hill
524 1 02 4 007,27813.92838,Hill
524 1 03 3 001,36718.888419999996,Hill
524 1 03 3 002,54374.540010000004,Hill
524 1 03 3 003,64805.96961,Hill
524 1 03 3 004,36995.35784,Shivalik
524 1 03 4 001,24972.86167,Hill
524 1 03 4 002,17927.14377,Hill
524 1 03 4 003,23657.763919999998,Hill
524 1 03 4 004,23278.98285,Terai
524 1 03 4 005,20821.62247,Hill
524 1 03 4 006,21673.30213,Hill
524 1 04 3 001,84493.81266,Terai
524 1 04 3 002,72720.17647,Terai
524 1 04 3 003,45672.505999999994,Terai
524 1 04 3 004,67059.21336000001,Terai
524 1 04 3 005,125664.7264,Terai
524 1 04 3 006,60717.48314,Terai
524 1 04 3 007,93340.89397,Terai
524 1 04 3 008,74634.46766000001,Terai
524 1 04 4 001,50110.280269999996,Terai
524 1 04 4 002,47328.24228,Shivalik
524 1 04 4 003,37246.67987,Terai
524 1 04 4 004,38628.499130000004,Terai
524 1 04 4 005,38266.159589999996,Terai
524 1 04 4 006,33536.196,Terai
524 1 04 4 007,44695.25091,Terai
524 1 05 1 001,240444.6314,Terai
524 1 05 3 001,36541.5826,Terai
524 1 05 3 002,90394.5524,Terai
524 1 05 3 003,73796.79552999999,Terai
524 1 05 3 004,70068.78891,Terai
524 1 05 3 005,60917.591539999994,Terai
524 1 05 3 006,58828.46067000001,Terai
524 1 05 3 007,57519.01917000001,Terai
524 1 05 3 008,61861.82459,Terai
524 1 05 4 001,34360.67142,Terai
524 1 05 4 002,32230.75387,Terai
524 1 05 4 003,42410.35417,Terai
524 1 05 4 004,46753.354080000005,Terai
524 1 05 4 005,37938.83273,Terai
524 1 05 4 006,45327.60409,Terai
524 1 05 4 007,46225.69115,Terai
524 1 05 4 008,45269.56125,Terai
524 1 06 2 001,153909.0259,Terai
524 1 06 2 002,158457.0829,Terai
524 1 06 3 001,87412.42261000001,Terai
524 1 06 3 002,58906.85655,Terai
524 1 06 3 003,71035.62243999999,Terai
524 1 06 3 004,63554.748289999996,Terai
524 1 06 4 001,49127.9953,Terai
524 1 06 4 002,46574.7936,Terai
524 1 06 4 003,39450.62738,Terai
524 1 06 4 004,42210.07277,Terai
524 1 06 4 005,40139.10801,Terai
524 1 06 4 006,35463.95668,Terai
524 1 06 5 995,223.6488253,Terai
524 1 07 3 001,27742.69773,Hill
524 1 07 3 002,25169.26104,Hill
524 1 07 3 003,40740.093660000006,Hill
524 1 07 4 001,21284.59805,Hill
524 1 07 4 002,20486.39955,Hill
524 1 07 4 003,24193.269790000002,Hill
524 1 07 4 004,21484.71182,Hill
524 1 08 3 001,18970.83944,Hill
524 1 08 3 002,22165.858330000003,Hill
524 1 08 4 001,9119.661153000001,Hill
524 1 08 4 002,19729.38872,Hill
524 1 08 4 003,24405.961369999997,Hill
524 1 08 4 004,18946.99505,Hill
524 1 09 3 001,33742.62075,Hill
524 1 09 3 002,19606.9741,Hill
524 1 09 3 003,30608.940730000002,Hill
524 1 09 3 004,20572.335740000002,Hill
524 1 09 3 005,16241.77276,Hill
524 1 09 4 001,15009.884930000002,High Mountain
524 1 09 4 002,7407.783347,Mountain
524 1 09 4 003,13235.79629,Mountain
524 1 09 4 004,7855.85791,Hill
524 1 09 4 005,11725.84988,Mountain
524 1 10 3 001,35300.54532,Hill
524 1 10 3 002,30822.734210000002,Hill
524 1 10 4 001,14626.604640000001,Mountain
524 1 10 4 002,20422.64442,Hill
524 1 10 4 003,19704.83845,Hill
